Enum Value	Module Name	Max String Length	Description	English	Tr_Chinese	Si_Chinese	Thai	Spanish	French	German	Russian	Italian	Arabic   	Portuguese	Turkish	Vietnamese	Indonesian	Malaysian	Hindi	Danish	Czech	Polish	Hungarian	Finnish	Norwegian	Slovak	Dutch	Swedish	Croatian	Romanian	Slovenian	Greek	Hebrew	Bulgarian	Marathi	Persian	Urdu	Tamil	Bengali	Punjabi	Telugu	Ukrainian
BRA_STR_ID_PROFILE	Undefined	7	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_PROFILE_NAME	Undefined	12	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_SKIP	Undefined	4	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_INSTALL	Undefined	7	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_INSTALL_SETTING	Undefined	15	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_REPLACE_SETTING	Undefined	15	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_SKIP_PROFILE	Undefined	18	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_PROFILE_IN_USE	Undefined	14	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_SELECT_SIM	Undefined	10	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_SIM1	Undefined	4	No Translation				V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V
BRA_STR_ID_SIM2	Undefined	4	No Translation				V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V
BRA_STR_ID_ALWAYS_ASK	Undefined	10	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_SELECT_CALL	Undefined	4	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_SIM1_CALL	Undefined	16	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_SIM2_CALL	Undefined	16	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_SIM1_NOT_EXIST	Undefined	17	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_SIM2_NOT_EXIST	Undefined	17	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_SIM1_NOT_OPEN	Undefined	12	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_SIM2_NOT_OPEN	Undefined	12	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_NO_SIM_IS_AVAILABLE	Undefined	19	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_BEARER_DETAIL_INFO	Undefined	16	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_PRS_SIM1_INSTALL	Undefined	22	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_PRS_SIM2_INSTALL	Undefined	22	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_PRS_SIM1_WAP_INSTALL	Undefined	27	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_PRS_SIM2_WAP_INSTALL	Undefined	27	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_PRS_SIM1_MMS_INSTALL	Undefined	27	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_PRS_SIM2_MMS_INSTALL	Undefined	27	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_CALL_CONFLICT	Undefined	18	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_SUBMIT_ASK	Undefined	4	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_QUESTION_MARK	Undefined	4	No Translation				V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V
BRA_STR_ID_ENABLE_COOKIES_CONF	Undefined	14	No Translation					V	V	V	V	V			V	V	V																									
BRA_STR_ID_DISABLE_COOKIES_CONF	Undefined	14	No Translation					V	V	V	V	V			V	V	V																									
BRA_STR_ID_ENABLE_CACHE_CONF	Undefined	14	No Translation					V	V	V	V	V			V	V	V																									
BRA_STR_ID_DISABLE_CACHE_CONF	Undefined	14	No Translation					V	V	V	V	V			V	V	V																									
